date,price
2020/12/31,6367.1149
2020/12/30,6269.2484
2020/12/29,6199.8523
2020/12/28,6244.4818
2020/12/25,6278.4981
2020/12/24,6205.2247
2020/12/23,6307.604
2020/12/22,6250.0606
2020/12/21,6398.5987
2020/12/18,6291.918
2020/12/17,6308.9013
2020/12/16,6235.4352
2020/12/15,6265.5819
2020/12/14,6259.0175
2020/12/11,6209.427
2020/12/10,6320.0956
2020/12/9,6307.2207
2020/12/8,6423.6513
2020/12/7,6424.6823
2020/12/4,6464.7345
2020/12/3,6440.8808
2020/12/2,6434.9791
2020/12/1,6426.6155
2020/11/30,6320.9441
2020/11/27,6351.6119
2020/11/26,6334.3042
2020/11/25,6350.3667
2020/11/24,6475.1881
2020/11/23,6472.9301
2020/11/20,6422.9854
2020/11/19,6360.5998
2020/11/18,6341.0136
2020/11/17,6336.9406
2020/11/16,6387.371
2020/11/13,6306.97
2020/11/12,6315.4938
2020/11/11,6294.6055
2020/11/10,6373.0853
2020/11/9,6421.6506
2020/11/6,6301.2477
2020/11/5,6351.9789
2020/11/4,6234.158
2020/11/3,6241.7676
2020/11/2,6143.1157
2020/10/30,6111.4803
2020/10/29,6255.1933
2020/10/28,6245.9986
2020/10/27,6221.3414
2020/10/26,6214.3779
2020/10/23,6213.2626
2020/10/22,6317.1438
2020/10/21,6350.0127
2020/10/20,6423.1128
2020/10/19,6358.3213
2020/10/16,6428.6822
2020/10/15,6460.0408
2020/10/14,6508.3743
2020/10/13,6551.3987
2020/10/12,6541.176
2020/10/9,6357.9711
2020/9/30,6192.5045
2020/9/29,6228.7708
2020/9/28,6178.4693
2020/9/25,6236.8904
2020/9/24,6244.6389
2020/9/23,6392.0329
2020/9/22,6358.652
2020/9/21,6445.9649
2020/9/18,6469.4692
2020/9/17,6367.0206
2020/9/16,6353.836
2020/9/15,6387.8805
2020/9/14,6351.2422
2020/9/11,6311.967
2020/9/10,6235.5687
2020/9/9,6349.2234
2020/9/8,6525.098
2020/9/7,6478.8124
2020/9/4,6618.5762
2020/9/3,6662.2515
2020/9/2,6717.5579
2020/9/1,6710.4599
2020/8/31,6668.4331
2020/8/28,6691.2096
2020/8/27,6578.7912
2020/8/26,6525.8786
2020/8/25,6652.5478
2020/8/24,6688.9647
2020/8/21,6643.9444
2020/8/20,6593.785
2020/8/19,6666.274
2020/8/18,6789.3979
2020/8/17,6744.5468
2020/8/14,6623.5633
2020/8/13,6552.6567
2020/8/12,6528.3999
2020/8/11,6600.8472
2020/8/10,6725.2956
2020/8/7,6688.8822
2020/8/6,6770.3016
2020/8/5,6772.8422
2020/8/4,6697.7071
2020/8/3,6739.8085
2020/7/31,6579.6696
2020/7/30,6511.436
2020/7/29,6530.2712
2020/7/28,6359.6637
2020/7/27,6298.7351
2020/7/24,6283.9831
2020/7/23,6620.0859
2020/7/22,6620.6893
2020/7/21,6563.3239
2020/7/20,6526.8325
2020/7/17,6344.5912
2020/7/16,6319.9981
2020/7/15,6638.8384
2020/7/14,6807.727
2020/7/13,6899.5175
2020/7/10,6676.4373
2020/7/9,6693.7452
2020/7/8,6535.4151
2020/7/7,6380.0276
2020/7/6,6299.8551
2020/7/3,6051.5099
2020/7/2,5975.2794
2020/7/1,5881.8875
2020/6/30,5864.4164
2020/6/29,5762.4378
2020/6/24,5789.0893
2020/6/23,5804.343
2020/6/22,5784.0269
2020/6/19,5787.1482
2020/6/18,5734.403
2020/6/17,5735.4183
2020/6/16,5695.3007
2020/6/15,5590.6435
2020/6/12,5591.4871
2020/6/11,5589.1019
2020/6/10,5615.2417
2020/6/9,5610.3774
2020/6/8,5575.3036
2020/6/5,5585.4231
2020/6/4,5576.7535
2020/6/3,5572.3125
2020/6/2,5566.4438
2020/6/1,5569.48
2020/5/29,5406.3403
2020/5/28,5361.167
2020/5/27,5369.4992
2020/5/26,5420.2126
2020/5/25,5316.6036
2020/5/22,5328.2268
2020/5/21,5426.1745
2020/5/20,5489.7024
2020/5/19,5547.8759
2020/5/18,5478.8218
2020/5/15,5507.9336
2020/5/14,5487.107
2020/5/13,5536.2802
2020/5/12,5512.464
2020/5/11,5496.192
2020/5/8,5507.6965
2020/5/7,5445.7519
2020/5/6,5451.3159
2020/4/30,5353.8595
2020/4/29,5226.8116
2020/4/28,5227.846
2020/4/27,5265.7248
2020/4/24,5273.5474
2020/4/23,5357.7904
2020/4/22,5387.6233
2020/4/21,5343.8806
2020/4/20,5381.7857
2020/4/17,5318.4547
2020/4/16,5316.9707
2020/4/15,5268.7497
2020/4/14,5288.593
2020/4/13,5169.1757
2020/4/10,5208.5102
2020/4/9,5322.4614
2020/4/8,5271.7961
2020/4/7,5267.073
2020/4/3,5107.0393
2020/4/2,5147.2019
2020/4/1,5019.2187
2020/3/31,5041.4534
2020/3/30,5027.4856
2020/3/27,5137.3371
2020/3/26,5166.1091
2020/3/25,5217.4237
2020/3/24,5096.0408
2020/3/23,4998.9095
2020/3/20,5219.2809
2020/3/19,5157.8235
2020/3/18,5119.4716
2020/3/17,5212.0619
2020/3/16,5200.1142
2020/3/13,5457.2006
2020/3/12,5493.8838
2020/3/11,5589.5311
2020/3/10,5675.1113
2020/3/9,5525.8167
2020/3/6,5763.8602
2020/3/5,5801.1199
2020/3/4,5716.5112
2020/3/3,5710.0235
2020/3/2,5656.4193
2020/2/28,5451.2897
2020/2/27,5753.7277
2020/2/26,5743.3929
2020/2/25,5897.7219
2020/2/24,5865.4665
2020/2/21,5784.0321
2020/2/20,5706.7127
2020/2/19,5603.2626
2020/2/18,5660.8142
2020/2/17,5594.4366
2020/2/14,5420.8025
2020/2/13,5412.8418
2020/2/12,5459.9461
2020/2/11,5361.2768
2020/2/10,5388.4349
2020/2/7,5327.0369
2020/2/6,5282.8922
2020/2/5,5123.9619
2020/2/4,4996.4743
2020/2/3,4910.9011
2020/1/23,5377.7411
2020/1/22,5575.5126
2020/1/21,5523.9419
2020/1/20,5587.5359
2020/1/17,5510.0453
2020/1/16,5527.6676
2020/1/15,5530.0266
2020/1/14,5542.3316
2020/1/13,5559.6272
2020/1/10,5480.2279
2020/1/9,5497.5429
2020/1/8,5423.7966
2020/1/7,5499.8395
2020/1/6,5434.8503
2020/1/3,5380.6372
2020/1/2,5366.1375
